gate,raw_directory,observed_files,expected_files,complete,models,rows_raw,rows_unique,duplicate_svc_rows_removed,gate_family,scale_svc,scale_qsvc
gate2_id_256,results/raw/paper15_v11_null_gate2_id_256,30,30,True,"qsvc_zz_r1,svc_rbf",2640,2640,0,N_null_calibration,,
gate3a_ood_tue_wed,results/raw/paper15_v11_null_gate3a_ood_tue_wed,30,30,True,"qsvc_zz_r1,svc_rbf",2640,2640,0,N_null_calibration,,
gate3b_ood_tue_fri_portscan,results/raw/paper15_v11_null_gate3b_ood_tue_fri_portscan,30,30,True,"qsvc_zz_r1,svc_rbf",2640,2640,0,N_null_calibration,,
gate3c_ood_wed_thu_webattacks,results/raw/paper15_v11_null_gate3c_ood_wed_thu_webattacks,30,30,True,"qsvc_zz_r1,svc_rbf",2640,2640,0,N_null_calibration,,
gate3d_ood_wed_fri_morning,results/raw/paper15_v11_null_gate3d_ood_wed_fri_morning,30,30,True,"qsvc_zz_r1,svc_rbf",2640,2640,0,N_null_calibration,,
gate5a_id_unsw,results/raw/paper15_v11_null_gate5a_id_unsw,30,30,True,"qsvc_pauli_xyz_r1,qsvc_z_r1,qsvc_zz_r1,svc_rbf",5280,5280,0,N_null_calibration,,
gate5b_id_ton_iot,results/raw/paper15_v11_null_gate5b_id_ton_iot,30,30,True,"qsvc_pauli_xyz_r1,qsvc_z_r1,qsvc_zz_r1,svc_rbf",5280,5280,0,N_null_calibration,,
gate6_ood_unsw,results/raw/paper15_v11_null_gate6_ood_unsw,30,30,True,"qsvc_zz_r1,svc_rbf",2640,2640,0,N_null_calibration,,
P0_reference,results/raw/paper15_v11_prep_P0_reference,30,30,True,"qsvc_zz_r1,svc_rbf",1140,1140,0,P_preprocessing_ablation,standard,minmax2pi
PA_standard_standard,results/raw/paper15_v11_prep_PA_standard_standard,30,30,True,"qsvc_zz_r1,svc_rbf",1140,1140,0,P_preprocessing_ablation,standard,standard
PB_minmax2pi_minmax2pi,results/raw/paper15_v11_prep_PB_minmax2pi_minmax2pi,30,30,True,"qsvc_zz_r1,svc_rbf",1140,1140,0,P_preprocessing_ablation,minmax2pi,minmax2pi
gate1_id_cicids,results/raw/paper15_v11_tuned_gate1_id_cicids,30,30,True,"qsvc_zz_r1,svc_rbf",1140,1140,0,T_tuned_baselines,,
gate6_ood_unsw,results/raw/paper15_v11_tuned_gate6_ood_unsw,30,30,True,"qsvc_zz_r1,svc_rbf",1140,1140,0,T_tuned_baselines,,
