regime,rule,n_draws,n_fire,pooled_rate,environment_cluster_mean_min,environment_cluster_mean_max,nominal_alpha,conformal_exact_level
I_X,family,12000,672,0.056,0.0233333333333333,0.125,0.05,0.0497512437810945
I_X,family_v12,12000,733,0.0610833333333333,0.0254166666666666,0.1325,0.05,0.0497512437810945
I_X,union,12000,1500,0.125,0.0633333333333333,0.215,0.05,0.0497512437810945
I_XF,family,12000,695,0.0579166666666666,0.0233333333333333,0.1149999999999999,0.05,0.0497512437810945
I_XF,family_v12,12000,871,0.0725833333333333,0.045,0.125,0.05,0.0497512437810945
I_XF,union,12000,2438,0.2031666666666666,0.135,0.2799999999999999,0.05,0.0497512437810945
I_Ym,family,12000,570,0.0475,0.025,0.0699999999999999,0.05,0.0497512437810945
I_Ym,family_v12,12000,570,0.0475,0.025,0.0699999999999999,0.05,0.0497512437810945
I_Ym,union,12000,570,0.0475,0.025,0.0699999999999999,0.05,0.0497512437810945
I_XFY,family,12000,637,0.0530833333333333,0.0341666666666666,0.1233333333333333,0.05,0.0497512437810945
I_XFY,family_v12,12000,942,0.0785,0.0458333333333333,0.1458333333333333,0.05,0.0497512437810945
I_XFY,union,12000,3113,0.2594166666666667,0.1808333333333333,0.3583333333333333,0.05,0.0497512437810945
